id,song_id,song_title,song_artist,spotify_link
667,67,One Kiss,Calvin Harris,[{'song_link': 'https://open.spotify.com/album/7GEzhoTiqcPYkOprWQu581'}]
668,68,Promises,Calvin Harris,[{'song_link': 'https://open.spotify.com/album/2tpWgbBdzjkaJVJzR4T8y1'}]
669,69,See You Again,Wiz Khalifa,[{'song_link': 'https://open.spotify.com/track/2JzZzZUQj3Qff7wapcbKjc'}]
670,70,Remember You,Wiz Khalifa,[{'song_link': 'https://open.spotify.com/track/3xO4R5jWXl1TwI1j90GeTg'}]
671,71,Black and Yellow,Wiz Khalifa,[{'song_link': 'https://open.spotify.com/track/5A6OHHy73AR5tLxgTc98zz'}]
672,72,We Dem Boyz,Wiz Khalifa,[{'song_link': 'https://open.spotify.com/track/2nrSQK3ooS0sOSecOvh5Aq'}]
673,73,Medicated,Wiz Khalifa,[{'song_link': 'https://open.spotify.com/track/5OI48E8HqkN8fnTOu3Hfuf'}]
674,74,Venus as a Boy,Björk,[{'song_link': 'https://open.spotify.com/track/5G9LvzXcBoIBXOd2jzdJTs'}]
675,75,Pagan Poetry,Björk,[{'song_link': 'https://open.spotify.com/intl-es/track/06Kdk44c10hGr5vzMfZ8p4'}]
676,76,Hyper-ballad,Björk,[{'song_link': 'https://open.spotify.com/track/4z1fNs2B7KndCsvyPgrhq5'}]
677,77,Bachelorette,Björk,[{'song_link': 'https://open.spotify.com/track/30j9ij28SJum1lp740MsHS'}]
678,78,Jóga,Björk,[{'song_link': 'https://open.spotify.com/track/20ZvzoDSefcZo6bj10jgGC'}]
679,79,Hit ’Em Up,2Pac,[{'song_link': 'https://open.spotify.com/track/0Z2J91b2iTGLVTZC4fKgxf'}]
680,80,Changes,2Pac,[{'song_link': 'https://open.spotify.com/track/1ofhfV90EnYhEr7Un2fWiv'}]
681,81,Keep Ya Head Up,2Pac,[{'song_link': 'https://open.spotify.com/track/0XRbYXQUymj9SJkrr8YK5B'}]
682,82,California Love,2Pac,[{'song_link': 'https://open.spotify.com/track/3djNBlI7xOggg7pnsOLaNm'}]
683,83,Dear Mama,2Pac,[{'song_link': 'https://open.spotify.com/track/6tDxrq4FxEL2q15y37tXT9'}]
684,84,Step,Vampire Weekend,[{'song_link': 'https://open.spotify.com/track/78J9MBkAoqfvyeEpQKJDzD'}]
685,85,Oxford Comma,Vampire Weekend,[{'song_link': 'https://open.spotify.com/track/0ful4PHfTIxzXiZSZsXQ0H'}]
686,86,Unbelievers,Vampire Weekend,[{'song_link': 'https://open.spotify.com/track/51DZ0wUocQ8sQfjnibXVcD'}]
687,87,Hannah Hunt,Vampire Weekend,[{'song_link': 'https://open.spotify.com/track/3t87C08isN6yw2DnWOorLm'}]
688,88,Diane Young,Vampire Weekend,[{'song_link': 'https://open.spotify.com/track/10f0hrbCBiQk9STrFG3EU7'}]
689,89,Hurt,Nine Inch Nails,[{'song_link': 'https://open.spotify.com/track/1lo9k4PrxFd5Np4cAxXoKo'}]
690,90,Closer,Nine Inch Nails,[{'song_link': 'https://open.spotify.com/track/2oDqmfa2g8W893LlwJG1qu'}]
691,91,Head Like a Hole,Nine Inch Nails,[{'song_link': 'https://open.spotify.com/track/3ckd4YA4LcD3j50rfIVwUe'}]
692,92,Reptile,Nine Inch Nails,[{'song_link': 'https://open.spotify.com/track/1HS0wlHdPGElgTYf81bA0S'}]
693,93,Wish,Nine Inch Nails,[{'song_link': 'https://open.spotify.com/track/0XfNjyJcb7d2ZAscVM4K7J'}]
694,94,Imagine,John Lennon,[{'song_link': 'https://open.spotify.com/track/7pKfPomDEeI4TPT6EOYjn9'}]
695,95,Happy Xmas (War Is Over),John Lennon,[{'song_link': 'https://open.spotify.com/track/3zJw3rugfpVrmBeDDnUYzy'}]
696,96,Beautiful Boy (Darling Boy),John Lennon,[{'song_link': 'https://open.spotify.com/track/752R2h0nzGsAacpFoXRKNB'}]
697,97,How Do You Sleep?,John Lennon,[]
698,98,Working Class Hero,John Lennon,[{'song_link': 'https://open.spotify.com/track/1yKQBy7olMIqRpziyAzf8c'}]
699,99,Fuck You,Lily Allen,[{'song_link': 'https://open.spotify.com/track/1GCbc1vpkZA2zhjsSFhmHT'}]
700,100,Not Fair,Lily Allen,[{'song_link': 'https://open.spotify.com/track/2PBOI7vYicqDaG9rYbycUO'}]
701,1,Smile,Lily Allen,[{'song_link': 'https://open.spotify.com/track/4aR9bPMAOFySBuQSbVWF3d'}]
702,2,The Fear,Lily Allen,[{'song_link': 'https://open.spotify.com/track/7bW6MqAdTclmHVHAOkIyPS'}]
703,3,Hard Out Here,Lily Allen,[{'song_link': 'https://open.spotify.com/album/1fby4GbTbNwhaWosafXOmH'}]
704,4,Born in the U.S.A.,Bruce Springsteen,[{'song_link': 'https://open.spotify.com/album/0PMasrHdpaoIRuHuhHp72O'}]
705,5,I’m on Fire,Bruce Springsteen,[{'song_link': 'https://open.spotify.com/track/3PzsbWSQdLCKDLxn7YZfkM'}]
706,6,Thunder Road,Bruce Springsteen,[{'song_link': 'https://open.spotify.com/track/56lhDZNQ5J47aog6mGKeGk'}]
707,7,Dancing in the Dark,Bruce Springsteen,[{'song_link': 'https://open.spotify.com/track/7FwBtcecmlpc1sLySPXeGE'}]
708,8,Born to Run,Bruce Springsteen,[{'song_link': 'https://open.spotify.com/track/6hTcuIQa0sxrrByu9wTD7s'}]
709,9,Little Black Submarines,The Black Keys,[{'song_link': 'https://open.spotify.com/track/1PXsUXSM3LF2XNSkmIldPb'}]
710,10,Lonely Boy,The Black Keys,[{'song_link': 'https://open.spotify.com/track/5G1sTBGbZT5o4PNRc75RKI'}]
711,11,Gold on the Ceiling,The Black Keys,[{'song_link': 'https://open.spotify.com/track/5lN1EH25gdiqT1SFALMAq1'}]
712,12,Weight of Love,The Black Keys,[{'song_link': 'https://open.spotify.com/track/3xMQOd1C3TXsjQ3pmzOmkC'}]
713,13,Tighten Up,The Black Keys,[{'song_link': 'https://open.spotify.com/track/5dbXXsVTRaldbdsi1jZksW'}]
714,14,Hollaback Girl,Gwen Stefani,[{'song_link': 'https://open.spotify.com/track/0LzrhCZFXW94Y8nwtTuRlw'}]
715,15,The Sweet Escape,Gwen Stefani,[{'song_link': 'https://open.spotify.com/track/66ZcOcouenzZEnzTJvoFmH'}]
716,16,Rich Girl,Gwen Stefani,[{'song_link': 'https://open.spotify.com/track/2Y2q7PkD7lvuWr8YaZfWuv'}]
717,17,What You Waiting For?,Gwen Stefani,[{'song_link': 'https://open.spotify.com/track/7icROppj4Z12Nr0xGgxWFJ'}]
718,18,Make Me Like You,Gwen Stefani,[{'song_link': 'https://open.spotify.com/track/3AIOGUttDrVfuAvP1kotP9'}]
719,19,Mi Princesa,Artista Rosario,[{'song_link': 'https://open.spotify.com/intl-es/track/04iGWCCvCWP7PCMkURPalH'}]
720,20,Triple S (Remix),Artista Rosario,[{'song_link': 'https://open.spotify.com/track/7LIIPfRbEVGGfEDk9KIIQM'}]
721,21,Cuando Estamos A Solas,Artista Rosario,[{'song_link': 'https://open.spotify.com/intl-es/track/7a1IbpkxOJu6PEyRTWHfIC'}]
722,22,Aire En Alto,Artista Rosario,[{'song_link': 'https://open.spotify.com/intl-de/album/0UOUSjmeDu72FpQZb9hjKI'}]
723,23,Triple S,Artista Rosario,[{'song_link': 'https://open.spotify.com/track/2x1VXQgkZ3CtGDorQt0mK6'}]
724,24,Dreams,Fleetwood Mac,[{'song_link': 'https://open.spotify.com/track/0ofHAoxe9vBkTCp2UQIavz'}]
725,25,Landslide,Fleetwood Mac,[{'song_link': 'https://open.spotify.com/playlist/5ioEuRkaqwd20BygNUDvk5'}]
726,26,The Chain,Fleetwood Mac,[{'song_link': 'https://open.spotify.com/track/5e9TFTbltYBg2xThimr0rU'}]
727,27,Silver Springs,Fleetwood Mac,[{'song_link': 'https://open.spotify.com/track/4nZi6XNe36Ut4Nij3IQ1yC'}]
728,28,Rhiannon,Fleetwood Mac,[{'song_link': 'https://open.spotify.com/intl-es/track/05oETzWbd4SI33qK2gbJfR'}]
729,29,As,Stevie Wonder,[{'song_link': 'https://open.spotify.com/track/13toFl1UwJPsRxDiD9jgtn'}]
730,30,Isn’t She Lovely,Stevie Wonder,[{'song_link': 'https://open.spotify.com/track/6RANU8AS5ICU5PEHh8BYtH'}]
731,31,Superstition,Stevie Wonder,[{'song_link': 'https://open.spotify.com/intl-es/track/4N0TP4Rmj6QQezWV88ARNJ'}]
732,32,I Just Called to Say I Love You,Stevie Wonder,[{'song_link': 'https://open.spotify.com/track/0kVE2yBjTwnFqbsrXRKg5Y'}]
733,33,I Wish,Stevie Wonder,[{'song_link': 'https://open.spotify.com/track/687YZan9Gol1UVvbpUSO6Y'}]
734,34,Money for Nothing,Dire Straits,[{'song_link': 'https://open.spotify.com/track/4HkQDaiwVdS5c7wYMWrEVh'}]
735,35,Sultans of Swing,Dire Straits,[{'song_link': 'https://open.spotify.com/track/6cr6UDpkjEaMQ80OjWqEBQ'}]
736,36,Brothers in Arms,Dire Straits,[{'song_link': 'https://open.spotify.com/track/19yH8h8s7whNkZFWKDBHAv'}]
737,37,Romeo and Juliet,Dire Straits,[{'song_link': 'https://open.spotify.com/track/2fF7mQOxo1SZuIMHTQgQD8'}]
738,38,Walk of Life,Dire Straits,[{'song_link': 'https://open.spotify.com/track/423o3ZHIaBtGXyhF1uH41a'}]
739,39,Low,Flo Rida,[{'song_link': 'https://open.spotify.com/track/0CAfXk7DXMnon4gLudAp7J'}]
740,40,Whistle,Flo Rida,[{'song_link': 'https://open.spotify.com/track/0HlvmKzNl7CJfYSkd1xzac'}]
741,41,My House,Flo Rida,[{'song_link': 'https://open.spotify.com/track/6Knv6wdA0luoMUuuoYi2i1'}]
742,42,Right Round,Flo Rida,[{'song_link': 'https://open.spotify.com/track/3GpbwCm3YxiWDvy29Uo3vP'}]
743,43,GDFR,Flo Rida,[{'song_link': 'https://open.spotify.com/track/26rdOwwjC2UnweK3xeS58u'}]
744,44,True Colors,Artists Against,[{'song_link': 'https://open.spotify.com/track/74zpVBJDeKHniaA8psl8ep'}]
745,45,Messianic Worship Music,Artists Against,[]
746,46,Smoke on the Water,Deep Purple,[{'song_link': 'https://open.spotify.com/track/5SAUIWdZ04OxYfJFDchC7S'}]
747,47,Soldier of Fortune,Deep Purple,[{'song_link': 'https://open.spotify.com/track/5NDyPVjcjK0hw2sUjjWFIO'}]
748,48,Child in Time,Deep Purple,[{'song_link': 'https://open.spotify.com/track/5TrfusgKC1BYic5LaWCoKm'}]
749,49,Perfect Strangers,Deep Purple,[]
750,50,Highway Star,Deep Purple,[{'song_link': 'https://open.spotify.com/track/4gVTozEmzwAUXpwj3jEetX'}]
751,51,The Number of the Beast,Iron Maiden,[{'song_link': 'https://open.spotify.com/album/1GmhZDrn15PUncSANUoteo'}]
752,52,The Trooper,Iron Maiden,[{'song_link': 'https://open.spotify.com/track/2WeSz9FLWE9RRIFDWtD5nc'}]
753,53,Fear of the Dark,Iron Maiden,[]
754,54,Hallowed Be Thy Name,Iron Maiden,[{'song_link': 'https://open.spotify.com/track/2fWk525FzoJKsVD0kF1j9d'}]
755,55,Run to the Hills,Iron Maiden,[]
756,56,Lola,The Kinks,[]
757,57,Waterloo Sunset,The Kinks,[{'song_link': 'https://open.spotify.com/track/4qSk2aeaE2dh5ZOP0JdaV3'}]
